;text1.txt;text2.txt;text3.txt;text4.txt;text5.txt;text6.txt;text7.txt;text8.txt;text9.txt;text10.txt;text11.txt;text12.txt;text13.txt;text14.txt;text15.txt
aviat;0.4129017549348525;0.4129017549348525;0.4129017549348525;0.4129017549348525;0.20645087746742624;0.4129017549348525;0.4129017549348525;0.0;0.4129017549348525;0.6193526324022787;0.20645087746742624;0.0;1.0322543873371313;1.65160701973941;2.4774105296091147
administr;0.7369655941662062;0.7369655941662062;0.7369655941662062;2.2108967824986188;2.2108967824986188;0.7369655941662062;0.0;0.0;0.7369655941662062;0.7369655941662062;0.0;0.0;0.0;0.7369655941662062;0.0
continu;3.627562382434074;0.9068905956085185;0.9068905956085185;3.627562382434074;0.9068905956085185;0.0;0.9068905956085185;0.9068905956085185;7.255124764868148;0.0;0.0;0.0;0.0;0.0;0.0
find;3.813781191217037;0.0;3.813781191217037;0.0;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185
flaw;1.9068905956085185;3.813781191217037;1.9068905956085185;0.0;0.0;7.627562382434074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
go;1.9068905956085185;1.9068905956085185;3.813781191217037;0.0;0.0;3.813781191217037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
beyond;2.9068905956085187;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
autom;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
softwar;2.720671786825555;1.813781191217037;6.348234169259629;1.813781191217037;0.0;0.9068905956085185;3.627562382434074;0.9068905956085185;1.813781191217037;0.0;0.0;0.0;0.0;0.0;0.0
system;0.5849625007211562;1.1699250014423124;0.5849625007211562;1.1699250014423124;0.0;0.5849625007211562;3.5097750043269373;4.094737505048093;0.5849625007211562;1.1699250014423124;0.0;0.5849625007211562;0.0;0.0;0.0
known;1.584962500721156;0.0;0.0;1.584962500721156;0.0;1.584962500721156;0.0;1.584962500721156;0.0;0.0;0.0;3.169925001442312;0.0;0.0;0.0
mca;1.3219280948873624;0.0;3.965784284662087;3.965784284662087;0.0;0.0;1.3219280948873624;7.931568569324174;2.643856189774725;0.0;0.0;0.0;0.0;0.0;0.0
contribut;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
two;0.965784284662087;0.965784284662087;2.2534966642115366;0.965784284662087;0.32192809488736235;0.32192809488736235;0.6438561897747247;0.6438561897747247;0.6438561897747247;1.6096404744368118;0.0;0.32192809488736235;0.0;0.6438561897747247;0.0
accid;3.813781191217037;3.813781191217037;1.9068905956085185;0.0;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0
late;4.643856189774724;2.321928094887362;4.643856189774724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
earli;2.9068905956085187;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
kill;0.9068905956085185;0.9068905956085185;0.9068905956085185;0.9068905956085185;0.0;0.0;0.9068905956085185;1.813781191217037;1.813781191217037;0.0;0.0;0.0;0.0;2.720671786825555;0.0
peopl;3.132212838798548;0.8949179539424423;2.237294884856106;0.44745897697122117;0.0;1.3423769309136635;0.44745897697122117;1.3423769309136635;1.3423769309136635;0.0;0.0;0.44745897697122117;0.44745897697122117;0.44745897697122117;0.0
led;4.754887502163468;0.0;0.0;0.0;1.584962500721156;1.584962500721156;0.0;0.0;0.0;1.584962500721156;0.0;3.169925001442312;0.0;0.0;0.0
worldwid;1.9068905956085185;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;1.9068905956085185;0.0;0.0
ground;2.924812503605781;1.1699250014423124;2.924812503605781;1.7548875021634687;1.7548875021634687;1.7548875021634687;1.7548875021634687;2.3398500028846247;2.3398500028846247;1.1699250014423124;0.0;0.0;0.0;0.0;0.0
march;1.0995356735509143;0.0;1.0995356735509143;3.298607020652743;1.0995356735509143;0.0;2.1990713471018286;1.0995356735509143;1.0995356735509143;0.0;0.0;0.0;0.0;0.0;0.0
estim;4.643856189774724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.321928094887362;0.0;0.0;0.0;4.643856189774724;0.0;0.0
conserv;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
intend;2.321928094887362;0.0;0.0;2.321928094887362;0.0;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
part;1.813781191217037;0.9068905956085185;4.534452978042593;2.720671786825555;0.0;0.0;0.0;0.0;1.813781191217037;0.0;1.813781191217037;0.0;0.9068905956085185;0.9068905956085185;0.0
give;2.643856189774725;0.0;0.0;1.3219280948873624;0.0;1.3219280948873624;0.0;0.0;0.0;1.3219280948873624;0.0;1.3219280948873624;0.0;0.0;1.3219280948873624
leeway;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
custom;1.813781191217037;0.9068905956085185;0.9068905956085185;0.0;0.9068905956085185;0.0;0.0;0.9068905956085185;2.720671786825555;0.9068905956085185;0.9068905956085185;0.0;0.0;0.0;0.0
becam;2.9068905956085187;0.0;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
frustrat;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
past;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
month;2.947862376664825;2.2108967824986188;2.947862376664825;3.684827970831031;1.4739311883324124;0.7369655941662062;0.7369655941662062;0.7369655941662062;1.4739311883324124;0.0;0.0;0.0;0.0;0.0;0.0
repeatedli;2.321928094887362;0.0;2.321928094887362;4.643856189774724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
miss;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
optimist;3.813781191217037;1.9068905956085185;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0;0.0
deadlin;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
plane’;1.0995356735509143;2.1990713471018286;3.298607020652743;1.0995356735509143;2.1990713471018286;0.0;3.298607020652743;0.0;0.0;0.0;1.0995356735509143;0.0;0.0;0.0;0.0
servic;0.8949179539424423;0.44745897697122117;2.237294884856106;1.3423769309136635;2.237294884856106;0.44745897697122117;0.8949179539424423;1.3423769309136635;0.8949179539424423;0.0;0.0;0.0;0.0;0.44745897697122117;1.3423769309136635
accord;1.3423769309136635;0.8949179539424423;1.7898359078848847;0.0;0.44745897697122117;0.0;0.8949179539424423;1.7898359078848847;0.44745897697122117;0.0;0.0;0.44745897697122117;0.8949179539424423;0.8949179539424423;0.44745897697122117
three;3.169925001442312;3.169925001442312;1.584962500721156;0.0;0.0;3.169925001442312;0.0;0.0;0.0;0.0;0.0;1.584962500721156;0.0;0.0;0.0
familiar;3.813781191217037;1.9068905956085185;5.720671786825555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0
matter;3.813781191217037;1.9068905956085185;5.720671786825555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0
problem;2.2108967824986188;2.2108967824986188;5.158759159163443;0.0;0.0;0.7369655941662062;1.4739311883324124;2.2108967824986188;0.7369655941662062;0.0;0.0;1.4739311883324124;0.0;0.0;0.7369655941662062
could;2.2108967824986188;0.0;8.843587129994475;2.947862376664825;2.2108967824986188;1.4739311883324124;0.0;0.0;0.7369655941662062;0.0;0.7369655941662062;0.7369655941662062;1.4739311883324124;0.0;0.0
lift;1.9068905956085185;1.9068905956085185;3.813781191217037;0.0;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0
spring;2.9068905956085187;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
onc;1.9068905956085185;1.9068905956085185;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0;0.0
clear;2.1990713471018286;1.0995356735509143;3.298607020652743;3.298607020652743;2.1990713471018286;0.0;1.0995356735509143;0.0;0.0;0.0;0.0;1.0995356735509143;0.0;0.0;0.0
take;0.6438561897747247;0.32192809488736235;1.6096404744368118;0.6438561897747247;0.32192809488736235;0.32192809488736235;0.32192809488736235;0.32192809488736235;0.0;0.6438561897747247;0.0;0.6438561897747247;0.965784284662087;0.32192809488736235;0.0
week;2.947862376664825;0.7369655941662062;2.2108967824986188;2.947862376664825;2.947862376664825;1.4739311883324124;0.7369655941662062;0.7369655941662062;0.0;0.7369655941662062;0.0;0.0;0.0;0.0;0.0
reintegr;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
